hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,2,2016,November,49,30,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,0,Transient,43.0,0,1
City Hotel,11,2017,February,7,18,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,98.0,0,0
City Hotel,23,2015,October,41,7,0,1,2,0,0,BB,PRT,Direct,Direct,0,1,0,A,A,0,No Deposit,0,Transient,90.0,0,0
City Hotel,28,2015,November,45,2,1,5,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,0,Contract,90.95,0,0
Resort Hotel,0,2017,January,1,5,0,1,2,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,68.0,0,1
City Hotel,40,2016,July,31,26,0,1,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,95.0,0,0
City Hotel,2,2015,December,51,16,0,4,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,85.0,0,0
Resort Hotel,78,2015,August,33,11,3,10,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,134.0,1,1
Resort Hotel,383,2016,October,41,6,1,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,48.0,0,0
City Hotel,18,2016,June,26,23,0,1,2,1,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,128.0,0,1
Resort Hotel,93,2015,December,51,19,0,1,2,0,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,0,Transient,80.0,0,0
City Hotel,12,2016,February,7,7,1,0,2,0,0,BB,THA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,93.0,0,2
Resort Hotel,85,2017,April,16,17,1,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,75.0,0,0
City Hotel,125,2016,June,27,30,0,1,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,85.5,0,1
Resort Hotel,11,2016,February,7,13,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,48.0,0,2
City Hotel,165,2017,May,20,19,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,225.0,0,0
City Hotel,21,2017,January,1,6,0,2,1,0,0,BB,USA,Groups,TA/TO,0,0,0,D,K,0,No Deposit,0,Transient-Party,67.0,0,2
City Hotel,5,2016,November,49,28,1,1,1,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,82.35,0,0
Resort Hotel,81,2016,April,15,5,1,5,2,0,0,BB,FIN,Direct,Direct,0,0,0,F,F,2,No Deposit,0,Transient,83.3,0,1
Resort Hotel,136,2017,May,22,31,1,4,3,0,0,BB,IRL,Direct,Direct,0,0,0,H,H,0,No Deposit,0,Transient,162.0,0,0
Resort Hotel,128,2017,May,20,18,2,5,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,34.2,0,0
City Hotel,213,2016,December,53,27,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,78.3,0,0
City Hotel,5,2017,May,19,9,0,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,Non Refund,0,Transient,90.0,0,0
City Hotel,72,2016,November,46,11,0,2,2,0,0,BB,FRA,Direct,Direct,0,0,0,B,A,1,No Deposit,0,Transient,91.6,0,0
City Hotel,152,2016,October,44,24,4,10,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,80.39,0,0
City Hotel,4,2015,September,38,16,0,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,147.6,0,1
City Hotel,386,2016,October,44,23,2,0,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,115.0,0,1
Resort Hotel,20,2015,November,45,2,2,5,3,0,0,BB,POL,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,0,Transient,36.9,0,1
Resort Hotel,71,2017,July,30,27,2,5,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,0,Transient,146.0,0,0
City Hotel,89,2016,December,50,10,1,1,1,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,96.0,0,2
City Hotel,0,2017,June,23,5,1,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,14,A,A,0,No Deposit,0,Transient,67.0,1,1
City Hotel,9,2016,April,16,11,1,0,1,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,95.0,0,0
City Hotel,72,2015,September,38,18,0,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,108.0,0,0
City Hotel,393,2017,April,16,22,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,90.0,0,0
City Hotel,119,2017,January,3,16,1,3,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,88.4,0,1
City Hotel,83,2015,December,51,17,0,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,0.0,0,1
Resort Hotel,55,2016,November,47,13,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,30.6,0,0
Resort Hotel,157,2017,July,30,26,2,8,1,2,0,HB,ESP,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,0,Transient,266.5,0,1
City Hotel,0,2016,January,4,18,1,1,1,0,0,BB,GRC,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,64.5,0,0
City Hotel,46,2015,November,45,7,2,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient,60.0,0,0
City Hotel,17,2015,December,49,5,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,0,Contract,107.0,0,0
City Hotel,271,2017,June,22,3,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,90.0,0,0
City Hotel,268,2016,October,42,9,2,3,2,0,0,BB,LCA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,80.75,0,0
Resort Hotel,39,2015,October,44,31,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,47.6,0,0
Resort Hotel,78,2015,October,41,9,1,2,2,0,0,FB,ESP,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,92.0,0,0
City Hotel,34,2016,December,50,10,2,2,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,68.07,0,1
Resort Hotel,35,2015,November,45,6,2,7,1,0,0,BB,AUT,Corporate,Corporate,0,0,0,E,E,2,No Deposit,0,Transient-Party,52.2,0,0
City Hotel,0,2016,July,28,5,0,1,1,0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,135.0,0,1
Resort Hotel,189,2016,June,27,26,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,117.29,1,0
City Hotel,104,2016,July,30,21,1,3,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,142.2,0,2
City Hotel,0,2016,December,49,2,0,2,2,0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,0,Transient,0.0,0,0
City Hotel,281,2015,July,30,25,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient-Party,62.0,0,0
City Hotel,65,2015,September,39,26,2,2,2,0,0,BB,GRC,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Contract,129.2,0,0
Resort Hotel,132,2016,August,33,11,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,224.0,0,0
City Hotel,175,2017,May,20,19,0,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,90.0,0,0
Resort Hotel,186,2016,October,41,3,1,3,2,1,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,139.3,0,0
City Hotel,423,2017,June,24,14,0,3,2,0,0,BB,AUS,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,112.67,0,1
City Hotel,316,2016,May,21,19,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0
City Hotel,0,2015,August,35,26,0,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,F,B,0,No Deposit,0,Contract,156.0,0,2
City Hotel,213,2016,August,33,13,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,109.66,0,0
Resort Hotel,1,2015,December,49,5,0,1,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient-Party,37.0,0,0
City Hotel,7,2017,February,8,23,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,60.0,0,1
Resort Hotel,221,2017,April,18,30,2,5,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient-Party,83.43,0,0
Resort Hotel,21,2015,October,41,7,0,2,1,0,0,BB,IRL,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,47.0,0,1
Resort Hotel,223,2017,June,24,15,2,7,2,0,0,HB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,170.0,0,0
City Hotel,130,2016,May,20,12,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,104.55,0,0
City Hotel,130,2017,April,16,21,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,95.0,0,0
City Hotel,46,2016,November,46,6,1,0,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,97.2,0,2
Resort Hotel,43,2015,July,30,24,2,5,2,0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,159.2,0,1
City Hotel,58,2017,January,3,20,0,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,93.6,0,3
Resort Hotel,25,2017,April,14,3,1,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,77.0,0,2
City Hotel,247,2016,June,24,6,1,1,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,115.0,0,1
Resort Hotel,1,2016,November,48,26,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,38.0,0,0
City Hotel,379,2016,July,30,21,0,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,59.0,0,0
City Hotel,50,2016,March,13,24,0,1,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,115.2,0,2
City Hotel,43,2016,October,43,20,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,85.5,0,1
City Hotel,63,2017,July,30,23,2,5,3,0,0,BB,JPN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,225.43,0,2
City Hotel,219,2015,September,36,4,1,2,1,0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,76.67,0,0
Resort Hotel,1,2016,February,8,16,0,0,2,0,0,BB,PRT,Direct,Direct,1,0,0,A,D,0,No Deposit,0,Transient,0.0,1,0
City Hotel,38,2017,January,5,29,1,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,71.33,0,0
Resort Hotel,135,2016,December,49,1,1,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,55.8,0,1
City Hotel,2,2016,May,21,21,0,1,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,95.0,0,0
City Hotel,106,2016,November,46,6,1,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,D,A,4,No Deposit,0,Transient-Party,103.0,0,0
Resort Hotel,0,2016,February,6,5,0,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,38.0,0,0
City Hotel,39,2017,March,12,24,2,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,96.05,0,1
Resort Hotel,9,2017,June,26,30,0,1,2,0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,B,1,No Deposit,0,Transient-Party,120.0,0,0
City Hotel,203,2017,March,11,15,1,4,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,83.8,0,0
Resort Hotel,216,2015,December,52,20,4,9,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,40.29,0,1
City Hotel,330,2015,September,37,12,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient-Party,60.0,0,0
City Hotel,68,2016,January,1,2,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,No Deposit,0,Transient,63.0,0,1
Resort Hotel,72,2015,July,30,22,0,4,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.75,0,1
City Hotel,72,2015,October,44,28,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,58,Transient-Party,85.67,0,0
City Hotel,277,2016,November,46,7,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,100.0,0,0
City Hotel,34,2016,January,6,31,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,0,Transient,71.52,0,0
Resort Hotel,30,2016,July,30,20,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,1,A,E,0,No Deposit,0,Transient,105.0,0,0
City Hotel,247,2016,October,44,28,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,110.0,0,0
Resort Hotel,275,2017,June,22,3,2,5,2,1,0,BB,IRL,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient-Party,99.24,0,3
City Hotel,5,2017,January,5,30,1,0,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,107.0,1,0
City Hotel,58,2017,April,15,15,2,3,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,174.6,0,0
City Hotel,160,2016,July,29,14,0,3,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,137.7,0,0
City Hotel,271,2015,July,29,15,0,2,3,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,84.0,0,0
City Hotel,9,2017,April,15,13,0,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,210.0,0,1
City Hotel,115,2017,May,20,18,0,3,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,126.0,0,2
Resort Hotel,11,2015,July,28,10,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.5,0,1
Resort Hotel,24,2016,July,30,21,0,0,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,0.0,0,0
Resort Hotel,25,2016,April,15,4,1,4,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,54.6,0,1
City Hotel,59,2016,September,36,1,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,123.3,0,2
City Hotel,256,2017,July,29,21,1,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,107.1,0,2
City Hotel,22,2017,May,21,22,1,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,130.0,0,1
City Hotel,174,2017,June,22,1,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,110.0,0,0
Resort Hotel,161,2017,April,15,14,2,5,3,1,0,BB,IRL,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,0,Transient,135.0,0,0
City Hotel,1,2017,January,1,7,2,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,69.99,0,0
City Hotel,132,2015,July,30,23,0,1,3,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,130.5,0,0
Resort Hotel,24,2015,December,52,24,0,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,46.0,0,0
City Hotel,172,2017,July,28,10,1,5,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,152.1,0,2
Resort Hotel,4,2015,October,41,6,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,43.0,1,0
Resort Hotel,231,2017,May,19,9,0,4,2,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,81.0,0,0
City Hotel,166,2016,November,45,1,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,110.0,0,0
Resort Hotel,58,2016,April,16,15,0,2,2,0,0,BB,ESP,Complementary,Direct,0,0,0,A,C,1,No Deposit,0,Transient,0.0,0,1
City Hotel,0,2015,August,33,14,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,109.0,0,0
Resort Hotel,29,2015,July,30,25,2,5,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,135.0,0,0
Resort Hotel,7,2016,October,41,5,0,4,2,0,0,BB,GBR,Groups,Corporate,0,0,0,A,D,1,No Deposit,0,Transient-Party,50.0,0,0
City Hotel,40,2017,February,8,24,2,2,2,0,0,BB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,102.0,0,0
City Hotel,53,2016,June,27,30,0,2,2,0,0,BB,LBN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,119.7,0,1
City Hotel,86,2016,December,50,8,0,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient,140.0,0,2
Resort Hotel,33,2016,March,10,1,2,6,1,0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,50.0,0,0
Resort Hotel,103,2016,February,7,9,0,2,2,0,0,HB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,50.0,0,0
Resort Hotel,38,2017,April,15,14,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,98.33,0,1
Resort Hotel,2,2016,June,27,26,2,0,1,0,0,BB,PRT,Online TA,TA/TO,1,0,1,A,I,0,No Deposit,0,Transient,108.0,1,0
City Hotel,37,2016,October,42,13,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,105.0,0,0
City Hotel,6,2016,January,1,2,1,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,123.0,1,1
City Hotel,85,2016,October,41,6,1,3,2,0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,85.0,0,1
City Hotel,122,2017,May,21,27,1,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,104.0,0,0
City Hotel,70,2017,January,1,1,1,0,2,0,0,BB,KOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,131.4,0,1
City Hotel,65,2016,July,30,23,1,1,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,137.7,0,2
City Hotel,10,2016,August,35,21,1,0,1,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,134.0,0,0
City Hotel,12,2016,May,20,8,2,0,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,105.0,0,1
City Hotel,22,2017,April,17,29,1,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,115.0,0,1
Resort Hotel,23,2016,July,29,13,0,4,2,0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,164.0,0,0
City Hotel,70,2016,July,31,26,0,3,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,137.7,0,0
Resort Hotel,379,2016,September,36,1,3,8,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,57.8,0,0
Resort Hotel,23,2016,February,6,6,2,3,2,0,0,Undefined,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,98.8,1,1
City Hotel,73,2016,April,15,3,2,1,2,1,0,SC,GBR,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,94.0,0,0
City Hotel,192,2017,July,29,18,0,3,3,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,0,Transient,165.6,1,1
Resort Hotel,5,2017,May,20,16,0,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,85.0,0,1
City Hotel,112,2016,June,23,2,0,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,100.0,0,0
Resort Hotel,32,2016,October,41,8,2,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient-Party,121.33,0,1
City Hotel,165,2017,May,20,19,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,225.0,0,0
City Hotel,34,2017,July,28,10,1,1,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,89.0,0,0
Resort Hotel,275,2015,October,41,4,2,0,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,26,0,A,A,0,Non Refund,0,Transient,50.0,0,0
City Hotel,104,2017,May,20,15,1,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,160.0,0,0
Resort Hotel,11,2017,July,28,12,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,136.71,0,0
City Hotel,86,2016,January,4,22,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,35,Transient,85.0,0,0
City Hotel,66,2017,April,15,9,2,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,100.0,0,0
City Hotel,90,2017,May,19,8,1,0,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,126.0,0,3
City Hotel,22,2016,December,50,8,0,3,2,0,0,BB,PRT,Complementary,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,0.0,0,2
City Hotel,151,2016,January,4,19,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,63,Transient-Party,80.0,0,0
Resort Hotel,85,2017,February,5,1,0,4,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,72.0,0,1
City Hotel,168,2016,April,17,22,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,77,Transient,85.0,0,0
City Hotel,110,2017,April,17,26,1,4,3,0,0,SC,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,100.8,0,0
City Hotel,126,2016,August,33,8,1,2,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,86.36,0,0
City Hotel,233,2017,June,25,23,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,105.0,0,0
City Hotel,128,2016,July,29,11,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,A,2,No Deposit,0,Transient-Party,97.42,0,1
City Hotel,205,2017,July,31,30,2,5,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,114.29,0,0
Resort Hotel,90,2016,August,34,15,1,5,2,0,0,HB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,231.0,0,0
Resort Hotel,242,2016,June,23,4,2,5,2,0,1,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,62.9,0,1
City Hotel,80,2017,March,13,31,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,90.0,0,0
City Hotel,87,2015,September,38,15,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,89.25,1,2
City Hotel,59,2016,September,37,5,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,123.98,0,1
City Hotel,50,2015,August,35,25,0,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,62.0,0,0
Resort Hotel,115,2015,October,40,2,2,2,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,106.0,0,0
Resort Hotel,109,2016,March,11,7,1,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,27.5,0,1
City Hotel,106,2016,May,23,29,1,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,95.0,0,1
City Hotel,391,2016,August,32,4,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0
Resort Hotel,287,2016,September,37,5,2,5,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,Refundable,0,Transient-Party,67.0,0,0
